개선된 게임프레스 DPS 기반의 속성별 레이드 성능 | 제작: Hawaii,,,,,,,,,,,,,,,,,,,,,,
시즌: 새로운 발걸음 | 2026년 6월 2일~2026년 9월 8일,,,,,,,,,,,,,,,,,,,,,,
,3391,,,,693,블로스터,,물,물대포,,물,집게해머,24.1,702.8,9825.6,55.7,65.5,39.2,62.8,BBB,,
,2900,,,,484,펄기아,,드래곤,드래곤테일,,물,아쿠아테일,21.4,1049.0,10324.4,55.6,58.2,58.5,62.6,BBB,,
,3391,,,,이름 재입력,갸라도스²,,물,폭포오르기,,물,아쿠아테일*,21.4,1082.5,10589.7,55.4,58.1,60.3,62.5,BBB,,
,3200,,,,,갑주무사,,물,폭포오르기,,물,셸블레이드,22.8,796.2,9464.5,54.7,62.0,44.4,61.7,BBB,,
,3114,,,,134,샤미드,,물,물대포,,물,하이드로펌프,19.9,851.0,6744.0,50.7,54.2,47.4,57.1,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요 / **이벤트 한정 기술,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,1.5,39.4,2773.5,81867.9,100.3,38.1,2382.4,97.4,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,,M,,,이름 재입력,"마폭시(메가)¹
2026년 9월 5일 메가피날레",,불꽃,회오리불꽃,,불꽃,매지컬플레임++++,41.6,2049.5,147625.1,109.8,109.2,86.0,112.8,SAS,,
,,M,,,6MY,리자몽(메가Y),,불꽃,회오리불꽃,,불꽃,블라스트번*,35.3,2148.1,94802.5,97.4,92.8,90.2,100.0,AAS,,
,,M,,,이름 재입력,마폭시(메가)²,,불꽃,회오리불꽃,,불꽃,블라스트번*,36.7,1806.2,89228.8,96.9,96.3,75.8,99.4,AAA,,
,,S,,,이름 재입력,그림자 레시라무,,불꽃,불꽃엄니,,불꽃,크로스플레임*,36.9,1786.2,89573.5,96.3,96.8,75.0,98.9,AAA,,
불꽃,4161,M,,,257M,번치코(메가),,불꽃,회오리불꽃,,불꽃,블라스트번*,36.6,1752.0,86183.3,96.0,96.2,73.5,98.5,AAA,,
,,S,,,이름 재입력,그림자 히드런¹,,불꽃,회오리불꽃,,불꽃,마그마스톰*,31.5,2382.4,74530.8,92.9,82.7,100.0,95.4,ASA,,
,,,,,이름 재입력,두파팡¹,,불꽃,불태우기,,불꽃,깜짝헤드*,38.1,1242.0,68623.6,90.6,100.0,52.1,93.1,SBA,,
,4455,,,,이름 재입력,레시라무¹,,불꽃,불꽃엄니,,불꽃,크로스플레임*,30.6,1782.4,51315.3,83.8,80.5,74.8,86.0,AAA,,
,4038,M,,,6MX,리자몽(메가X),,불꽃,회오리불꽃,,불꽃,블라스트번*,30.6,1639.1,47093.4,82.0,80.4,68.8,84.2,ABA,,
,3754,S,,,이름 재입력,그림자 칠색조(APEX),,불꽃,불태우기,,불꽃,성스러운불꽃+**,29.1,1923.0,47525.6,82.0,76.5,80.7,84.2,AAA,,
,3863,S,,,이름 재입력,그림자 파이어,,불꽃,회오리불꽃,,불꽃,오버히트,31.5,1522.1,47425.0,81.9,82.6,63.9,84.1,ABA,,
,3465,S,,,,그림자 샹델라,,불꽃,회오리불꽃,,불꽃,오버히트,33.3,1185.2,43680.6,81.0,87.4,49.8,83.1,ABA,,
,,,,,이름 재입력,히드런¹,,불꽃,회오리불꽃,,불꽃,마그마스톰*,26.2,2375.1,42603.6,80.8,68.7,99.7,83.0,BAA,,
,3473,S,,,이름 재입력,그림자 번치코,,불꽃,회오리불꽃,,불꽃,블라스트번*,33.2,1128.0,41389.6,79.9,87.3,47.4,82.0,ABA,,
,3850,S,,,,그림자 불비달마,,불꽃,불꽃엄니,,불꽃,오버히트,33.7,997.1,38102.4,78.6,88.4,41.9,80.7,ABA,,
,4038,S,,,이름 재입력,그림자 앤테이,,불꽃,회오리불꽃,,불꽃,오버히트,29.9,1370.4,36763.0,77.9,78.6,57.5,80.0,ABA,,
,,,,,643,레시라무²,,불꽃,불꽃엄니,,불꽃,오버히트,28.4,1654.7,38074.8,77.8,74.7,69.5,79.8,ABA,,
,2848,S,,,이름 재입력,그림자 칠색조,,불꽃,불태우기,,불꽃,성스러운불꽃*,27.6,1823.2,38372.8,77.7,72.5,76.5,79.8,AAA,,
,3754,S,,,이름 재입력,그림자 리자몽,,불꽃,회오리불꽃,,불꽃,블라스트번*,30.8,1288.7,37614.6,77.3,80.8,54.1,79.4,ABA,,
,3863,P,,,이름 재입력,정화 칠색조(APEX),,불꽃,불태우기,,불꽃,성스러운불꽃++**,25.9,2052.1,35646.7,76.3,68.0,86.1,78.3,BAA,,
,2889,PO,,,383P,그란돈(원시),,땅,머드샷,,불꽃,불대문자,26.8,1604.5,30960.5,74.2,70.4,67.4,76.2,ABA,,
,,,,,637,불카모스,,불꽃,회오리불꽃,,불꽃,오버히트,27.3,1514.3,30864.0,74.2,71.7,63.6,76.2,ABA,,
,3632,,,,485,히드런²,,불꽃,회오리불꽃,,불꽃,화염방사,23.8,2160.1,29147.9,73.5,62.5,90.7,75.4,BAA,,
,5902,S,,,157,그림자 블레이범,,불꽃,불태우기,,불꽃,블라스트번*,30.2,1054.8,28955.8,73.4,79.2,44.3,75.3,ABA,,
,3842,,,,,두파팡²,,불꽃,불태우기,,불꽃,매지컬플레임,30.8,1004.3,29294.2,73.3,80.8,42.2,75.2,ABA,,
,2889,,,,146,파이어,,불꽃,회오리불꽃,,불꽃,오버히트,26.2,1519.5,27208.7,71.3,68.7,63.8,73.2,BBA,,
,3268,,,,609,샹델라,,불꽃,회오리불꽃,,불꽃,오버히트,27.7,1185.5,25291.2,70.6,72.8,49.8,72.5,ABA,,
,3465,,,,이름 재입력,에이스번¹,,불꽃,회오리불꽃,,불꽃,화염볼,27.8,1125.6,24130.7,70.1,72.9,47.3,72.0,ABA,,
,,M,,,229M,헬가(메가),,불꽃,불꽃엄니,,불꽃,화염방사,27.6,1136.3,23910.4,69.7,72.5,47.7,71.5,ABA,,
,3473,,,,257,번치코,,불꽃,회오리불꽃,,불꽃,블라스트번*,27.5,1119.0,23175.0,69.1,72.1,47.0,70.9,ABA,,
,,,,,이름 재입력,에이스번²,,불꽃,회오리불꽃,,불꽃,블라스트번*,27.2,1102.1,22184.0,68.6,71.4,46.3,70.5,ABA,,
,3132,,,,555SM,불비달마,,불꽃,불꽃엄니,,불꽃,오버히트,27.9,990.7,21487.2,68.1,73.2,41.6,69.9,ABB,,
,2848,,,,250,칠색조,,불꽃,불태우기,,불꽃,성스러운불꽃*,23.0,1821.2,22079.4,67.7,60.3,76.4,69.5,BAB,,
,2982,,,,244,앤테이,,불꽃,회오리불꽃,,불꽃,오버히트,24.8,1364.9,20933.8,67.6,65.2,57.3,69.5,BBB,,
,3059,,,,6,리자몽,,불꽃,회오리불꽃,,불꽃,블라스트번*,25.5,1281.5,21203.0,67.0,66.9,53.8,68.8,BBB,,
,2889,,,,136,부스터,,불꽃,회오리불꽃,,불꽃,오버히트,25.4,975.6,16068.6,63.3,66.8,41.0,65.0,BBB,,
,2683,,,,,파라블레이즈,,불꽃,불태우기,,불꽃,화염방사,22.4,1142.5,12845.2,59.6,58.8,48.0,61.2,BBB,,
,,,,,,카디나르마,,불꽃,불태우기,,불꽃,화염방사,22.2,949.8,10377.0,56.6,58.3,39.9,58.1,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,35.3,1614.5,38546.7,83.8,33.9,1509.4,80.6,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,4056,M,,,이름 재입력,"브리가론(메가)¹
2026년 9월 5일 메가피날레",,풀,덩굴채찍,,풀,씨폭탄++++,33.3,2405.6,88895.9,97.1,98.3,159.4,120.5,ASS,,DPS-TDO 그래프
,,M,,,254M,나무킹(메가),,풀,씨기관총,,풀,하드플랜트*,33.9,1509.4,58683.4,86.4,100.0,100.0,107.2,SSS,,
,,M,,,이름 재입력,브리가론(메가)²,,풀,덩굴채찍,,풀,하드플랜트*,27.6,1996.1,42145.7,80.6,81.6,132.2,100.0,ASS,,
,3677,,,,492SF,쉐이미(스카이폼),,풀,매지컬리프,,풀,풀묶기,28.5,1764.8,40906.6,76.0,84.2,116.9,94.3,ASA,,
풀,,S,,,이름 재입력,그림자 브리가론,,풀,덩굴채찍,,풀,하드플랜트*,28.4,1262.3,29049.8,73.4,84.0,83.6,91.1,AAA,,
,3592,,,,798,종이신도,,풀,잎날가르기,,풀,리프블레이드,31.3,919.4,28119.0,72.5,92.3,60.9,90.0,ABA,,
,3698,M,,,3M,이상해꽃(메가),,풀,덩굴채찍,,풀,하드플랜트*,28.0,1245.7,27419.3,72.0,82.7,82.5,89.4,AAA,,
,,,,,이름 재입력,자루도,,풀,덩굴채찍,,풀,파워휩,26.4,1458.2,26747.2,71.6,77.9,96.6,88.9,AAA,,
,3833,S,,,465,그림자 덩쿠림보,,풀,덩굴채찍,,풀,파워휩,27.8,1071.5,23013.5,69.0,82.1,71.0,85.6,AAA,,
,3030,S,,,254,그림자 나무킹,,풀,씨기관총,,풀,하드플랜트*,29.6,822.2,21358.5,67.7,87.4,54.5,84.0,ABA,,
,,,,,,고릴타¹,,풀,잎날가르기,,풀,하드플랜트*,26.5,1125.0,20838.3,67.3,78.1,74.5,83.5,AAA,,
,,S,,,389,그림자 토대부기,,풀,잎날가르기,,풀,하드플랜트*,27.2,1030.4,20832.5,67.3,80.4,68.3,83.5,ABA,,
,2757,S,,,이름 재입력,그림자 이상해꽃,,풀,덩굴채찍,,풀,하드플랜트*,28.7,830.8,19696.1,66.3,84.8,55.0,82.3,ABA,,
,2934,PO,,,,그란돈(원시),,땅,머드샷,,풀,솔라빔,28.4,882.1,20276.4,66.2,83.9,58.4,82.2,ABA,,
,,M,,,이름 재입력,우츠보트(메가),,풀,매지컬리프*,,풀,리프블레이드,27.1,904.8,18042.6,64.9,80.1,59.9,80.5,ABA,,
,,,,,이름 재입력,고릴타²,,풀,잎날가르기,,풀,드럼어택,25.2,1073.4,17271.1,64.2,74.5,71.1,79.7,AAA,,
,2720,,,,652,브리가론,,풀,덩굴채찍,,풀,하드플랜트*,23.6,1257.5,16558.1,63.8,69.7,83.3,79.2,BAA,,
,,S,,,이름 재입력,그림자 나시,,풀,씨기관총,,풀,솔라빔,27.1,830.5,16608.8,63.6,80.1,55.0,78.9,ABA,,
,3014,,,,787,카푸브루루,,풀,씨기관총,,풀,풀묶기,24.6,1026.0,15288.8,62.3,72.6,68.0,77.3,ABA,,
,2954,,,,,마스카나,,풀,나뭇잎,,풀,하드플랜트*,26.2,843.8,15177.4,62.2,77.3,55.9,77.1,ABA,,
,3419,,,,796,전수목,,전기,전기쇼크,,풀,파워휩,29.1,593.3,14581.1,61.5,85.8,39.3,76.4,ABA,,
,,,,,407,로즈레이드¹,,풀,매지컬리프,,풀,풀묶기,26.3,742.0,13440.2,60.3,77.5,49.2,74.8,ABA,,
,3937,,,,465,덩쿠림보,,풀,덩굴채찍,,풀,파워휩,23.0,1065.9,13018.3,59.8,68.0,70.6,74.2,BAA,,
,,,,,763,달코퀸,,풀,매지컬리프,,풀,풀묶기,24.0,935.1,12998.3,59.8,71.0,62.0,74.2,ABA,,
,,,,,251,세레비,,풀,매지컬리프*,,풀,리프스톰,22.0,1150.5,12176.9,58.8,64.8,76.2,73.0,BAA,,
,2964,,,,254,나무킹,,풀,씨기관총,,풀,하드플랜트*,24.4,814.8,11899.0,58.5,72.2,54.0,72.6,ABA,,
,3265,,,,,모크나이퍼,,풀,나뭇잎,,풀,하드플랜트*,23.6,892.1,11752.6,58.3,69.7,59.1,72.4,BBA,,
,3030,,,,407,로즈레이드²,,풀,잎날가르기,,풀,풀묶기,25.1,708.7,11206.6,57.6,74.1,47.0,71.5,ABA,,
,2757,,,,3,이상해꽃,,풀,덩굴채찍,,풀,하드플랜트*,23.8,824.9,11062.2,57.4,70.1,54.7,71.2,ABA,,
,2720,,,,103,나시,,풀,씨기관총,,풀,솔라빔,22.5,825.7,9380.9,55.1,66.4,54.7,68.4,BBB,,
,,,,,470,리피아,,풀,잎날가르기,,풀,리프블레이드,21.4,862.9,8423.6,53.6,63.1,57.2,66.6,BBB,,
,3014,M,,,460M,눈설왕(메가),,풀,나뭇잎,,풀,에너지볼,21.2,849.3,8059.1,52.4,62.5,56.3,65.1,BBB,,
,3405,,,,640,비리디온,,격투,두번차기,,풀,리프블레이드,18.5,1123.5,7129.6,51.7,54.7,74.4,64.1,BAB,,
,3022,,,,754,라란티스,,풀,나뭇잎,,풀,리프스톰,19.6,655.2,4953.1,47.0,57.9,43.4,58.3,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요 / **이벤트 한정 기술,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),평가,,DPS-TDO 그래프
,,,,,,,,,,,,,43.2,1464.9,49969.1,91.7,38.2,1460.8,87.0,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,4336,DW,,,800DW,네크로즈마(새벽의날개),,고스트,섀도클로,,고스트,섀도레이**,37.7,1274.0,68116.5,87.0,98.7,87.2,100.0,AAS,,
,,S,,,,그림자 다크라이,,악,바크아웃,,고스트,섀도볼,32.6,1558.4,53860.5,85.2,85.3,106.7,98.0,ASA,,
고스트,,M,,,150MY,뮤츠(메가Y),,에스퍼,사이코커터,,고스트,섀도볼*,33.7,1460.8,55770.7,84.7,88.2,100.0,97.3,ASA,,
,4336,M,,,150MX,뮤츠(메가X),,에스퍼,사이코커터,,고스트,섀도볼*,33.2,1034.0,37809.4,78.0,86.9,70.8,89.7,AAA,,
,3739,M,,,,팬텀(메가)¹,,고스트,핥기*,,고스트,섀도볼,38.2,602.5,33550.2,76.1,100.0,41.2,87.5,SBA,,
,,,,,491,다크라이,,악,바크아웃,,고스트,섀도볼,27.1,1555.0,30873.3,74.2,70.9,106.5,85.2,ASA,,
,3594,M,,,이름 재입력,팬텀(메가)²,,고스트,섀도클로,,고스트,섀도볼,37.1,585.4,29889.9,73.9,97.2,40.1,85.0,ABA,,
,,,,,720U,후파(굴레를 벗어난),,고스트,놀래키기,,고스트,섀도볼,25.4,1708.1,27850.8,69.6,66.4,116.9,80.0,BSA,,
,,S,,,이름 재입력,그림자 뮤츠,,에스퍼,사이코커터,,고스트,섀도볼*,30.8,865.2,25366.1,69.6,80.8,59.2,79.9,ABA,,
,,S,,,,그림자 샹델라,,고스트,병상첨병,,고스트,섀도볼,34.7,543.9,22803.4,68.8,91.0,37.2,79.0,ABA,,
,4178,M,,,354M,다크펫(메가),,고스트,섀도클로,,고스트,섀도볼,33.5,581.2,21772.7,68.0,87.6,39.8,78.1,ABA,,
,4006,,,,792,루나아라,,고스트,섀도클로,,고스트,섀도볼,28.5,1079.9,25049.7,67.7,74.7,73.9,77.8,AAA,,
,,M,,,65M,후딘(메가),,에스퍼,사이코커터,,고스트,섀도볼,29.7,798.4,20946.8,66.3,77.8,54.7,76.2,ABA,,
,4510,S,,,,그림자 팬텀,,고스트,핥기*,,고스트,섀도볼,36.6,368.3,17988.0,65.1,95.7,25.2,74.8,ACA,,
,3683,,,,,두파팡,,고스트,놀래키기,,고스트,섀도볼,32.4,465.8,15907.0,62.8,85.0,31.9,72.2,ABA,,
,,,,,1000,타부자고,,고스트,병상첨병,,고스트,섀도볼,26.4,895.7,16566.2,62.5,69.3,61.3,71.9,BBA,,
,3517,,,,이름 재입력,기라티나(오리진폼)¹,,고스트,섀도클로,,고스트,섀도다이브*,25.8,873.6,14957.7,61.9,67.5,59.8,71.1,BBA,,
,3683,,,,,드래펄트,,고스트,놀래키기,,고스트,섀도볼,28.0,636.9,14037.4,60.9,73.4,43.6,70.0,ABB,,
,,,,,이름 재입력,기라티나(오리진폼)²,,고스트,섀도클로,,고스트,섀도볼,24.9,844.7,13115.0,59.9,65.3,57.8,68.8,BBB,,
,,,,,150,뮤츠,,에스퍼,사이코커터,,고스트,섀도볼*,25.3,854.5,13836.2,59.8,66.3,58.5,68.7,BBB,,
,3268,,,,720C,후파(굴레에 빠진),,고스트,놀래키기,,고스트,섀도볼,27.6,694.9,14597.6,59.2,72.3,47.6,68.0,ABB,,
,4178,,,,609,샹델라,,고스트,병상첨병,,고스트,섀도볼,28.5,536.8,12486.4,59.1,74.8,36.8,68.0,ABB,,
,3452,S,,,354,그림자 다크펫,,고스트,섀도클로,,고스트,섀도볼,30.1,350.5,9574.2,55.3,78.9,24.0,63.6,ACB,,
,,,,,,포트데스,,고스트,병상첨병,,고스트,섀도볼,26.2,510.3,9183.5,54.8,68.6,34.9,63.0,BBB,,
,2298,S,,,429,그림자 무우마직,,고스트,병상첨병,,고스트,섀도볼,27.5,440.8,9123.9,54.7,71.9,30.2,62.8,ABB,,
,,,,,94,팬텀,,고스트,섀도클로,,고스트,섀도볼,29.1,352.3,8716.6,54.3,76.3,24.1,62.5,ACB,,
,2878,,,,,블레이범(히스이),,고스트,병상첨병,,고스트,섀도볼,25.6,516.0,8672.3,54.0,67.1,35.3,62.1,BBB,,
,3379,,,,487AF,기라티나(어나더폼),,고스트,섀도클로,,고스트,섀도다이브*,21.5,867.7,8658.5,54.0,56.4,59.4,62.0,BBB,,
,2615,,,,781,타타륜,,고스트,섀도클로,,고스트,섀도볼,25.4,516.1,8416.6,53.6,66.4,35.3,61.6,BBB,,
,,,,,681BF,킬가르도(블레이드폼),,에스퍼,사이코커터,,고스트,섀도볼,28.0,397.0,8735.1,53.3,73.4,27.2,61.2,ACB,,
,3268,,,,911,라우드본,,고스트,병상첨병,,고스트,섀도볼,22.8,608.7,7182.9,51.5,59.6,41.7,59.2,BBB,,
,2559,,,,709,대로트,,고스트,섀도클로,,고스트,섀도볼,22.6,456.8,5302.5,47.7,59.3,31.3,54.9,BBB,,
,2615,,,,429,무우마직,,고스트,병상첨병,,고스트,섀도볼,22.6,435.4,5014.9,47.1,59.1,29.8,54.1,BCB,,
,,,,,,모크나이퍼,,고스트,놀래키기,,고스트,그림자꿰매기,21.2,464.0,4435.4,45.7,55.6,31.8,52.5,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,///,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),18열,,DPS-TDO 그래프
,,,,,,,,,,,,,35.2,1415.1,33781.7,82.4,32.2,1384.1,81.2,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,,M,,,,"독침붕(메가)¹
2026년 9월 8일",,벌레,벌레먹기*,,벌레,마지막일침++++,40.7,1129.1,75895.9,90.3,126.3,81.6,111.3,SAS,,
,,M,,,,헤라크로스(메가),,벌레,연속자르기,,벌레,메가혼,32.2,1384.1,46219.7,81.2,100.0,100.0,100.0,SSS,,
,,S,,,이름 재입력,그림자 레지기가스,,벌레,잠재파워(벌레),,노말,묵사발*,31.9,979.0,31721.7,75.1,99.0,70.7,92.5,AAA,,
벌레,4087,M,,,127M,쁘사이저(메가),,벌레,연속자르기,,벌레,시저크로스,28.0,1286.0,28349.8,71.5,87.1,92.9,88.1,AAA,,
,3632,M,,,212M,핫삼(메가),,벌레,연속자르기,,벌레,시저크로스,25.6,1508.2,25331.7,70.0,79.5,109.0,86.2,ASA,,
,,S,,,이름 재입력,그림자 핫삼,,벌레,연속자르기,,벌레,시저크로스,26.7,968.3,18524.1,64.7,83.1,70.0,79.7,ABA,,
,2842,,,,637,불카모스,,벌레,벌레먹기,,벌레,벌레의야단법석,25.4,1155.5,18988.7,64.7,79.0,83.5,79.7,AAA,,
,3001,S,,,이름 재입력,그림자 투구뿌논,,벌레,벌레먹기,,벌레,시저크로스,29.2,694.2,17220.9,64.1,90.6,50.2,79.0,ABA,,
,3383,M,,,이름 재입력,독침붕(메가)²,,벌레,벌레먹기*,,벌레,시저크로스,28.7,788.1,18573.2,63.5,89.0,56.9,78.2,ABA,,
,2959,,,,795,페로코체,,벌레,벌레먹기,,벌레,벌레의야단법석,31.9,524.3,17081.9,63.2,99.2,37.9,77.9,ABA,,
,,S,,,이름 재입력,그림자 슈바르고,,벌레,벌레먹기,,벌레,메가혼,25.9,968.5,16733.4,63.1,80.3,70.0,77.8,ABA,,
,,,,,649,게노세크트,,벌레,연속자르기,,벌레,시저크로스,23.5,1128.7,14653.9,61.0,73.0,81.6,75.2,AAA,,
,3353,S,,,이름 재입력,그림자 쁘사이저,,벌레,연속자르기,,벌레,시저크로스,27.3,662.9,13527.1,60.4,84.9,47.9,74.4,ABA,,
,2946,,,,212,핫삼,,벌레,연속자르기,,벌레,시저크로스,22.2,966.2,10589.7,56.3,69.0,69.8,69.3,BBB,,
,,,,,이름 재입력,헤라크로스¹,,벌레,연속자르기,,벌레,메가혼,23.3,817.0,10387.2,55.9,72.5,59.0,68.9,ABB,,
,,,,,738,투구뿌논,,벌레,벌레먹기,,벌레,시저크로스,24.1,689.0,9651.6,55.5,74.9,49.8,68.4,ABB,,
,3117,,,,469,메가자리,,벌레,벌레먹기,,벌레,벌레의야단법석,22.7,871.5,10190.9,55.4,70.5,63.0,68.3,ABB,,
,,,,,589,슈바르고,,벌레,벌레먹기,,벌레,메가혼,21.6,971.8,9800.9,55.2,67.1,70.2,68.0,BAB,,
,3001,,,,851,다태우지네,,벌레,벌레먹기,,벌레,벌레의야단법석,21.8,943.0,9710.7,54.7,67.6,68.1,67.4,BBB,,
,2959,,,,900,사마자르,,벌레,연속자르기,,벌레,시저크로스,24.2,594.1,8441.1,53.9,75.2,42.9,66.4,ABB,,
,2889,,,,127,쁘사이저,,벌레,연속자르기,,벌레,시저크로스,22.6,659.5,7656.1,52.4,70.3,47.7,64.5,ABB,,
,2659,,,,632,아이앤트,,벌레,벌레먹기,,벌레,시저크로스,20.4,814.5,6876.6,50.5,63.2,58.9,62.3,BBB,,
,2441,,,,768,갑주무사,,벌레,연속자르기,,벌레,시저크로스,20.9,684.2,6222.5,49.9,64.8,49.4,61.5,BBB,,
,3162,,,,이름 재입력,헤라크로스²,,벌레,벌레의저항,,벌레,메가혼,20.6,722.2,6345.2,49.4,64.1,52.2,60.9,BBB,,
,2580,,,,542,모아머,,벌레,벌레먹기,,벌레,시저크로스,19.7,725.1,5527.8,47.5,61.1,52.4,58.6,BBB,,
,2206,,,,617,어지리더,,벌레,엉겨붙기,,벌레,벌레의야단법석,21.6,496.8,5028.9,47.1,67.2,35.9,58.1,BBB,,
,3101,,,,545,펜드라,,벌레,벌레먹기,,벌레,시저크로스,19.6,603.4,4575.4,44.7,61.0,43.6,55.1,BBB,,
,2447,,,,596,전툴라,,벌레,연속자르기,,벌레,벌레의야단법석,20.4,453.1,3852.3,44.1,63.4,32.7,54.3,BBB,,
제작: Hawaii,최신버전주소: bit.ly/pogoraidspec,,,최신버전: bit.ly/pogoraidspec,,,,,*대단한 기술머신 필요 / **이벤트 한정 기술,,,,,,,,● 종합(ER) = (DPS³ × TDO)^(0.25),,,///,,
2026-09-01,CP (Lv. 40),,1열,레벨 40,2열,포켓몬,3열,4열,일반공격,5열,6열,차징공격,DPS,TDO,D3T,ER,DPS(%),TDO(%),종합(%),18열,,DPS-TDO 그래프
,,,,,,,,,,,,,38.2,2105.9,47377.9,89.4,34.0,1683.0,88.5,BSA,,
,,,,,,,,,,,,,,,,,0.0,0.0,0.0,FFF,,
,3791,CSword,,,,자시안(검왕),,강철,메탈클로,,강철,거수참**,40.4,2366.0,155640.4,111.7,118.8,140.6,126.2,SSS,,
,,CShield,,,,자마젠타(방패왕),,강철,메탈클로,,강철,거수탄**,38.3,2888.5,162391.5,111.4,112.8,171.6,125.8,SSS,,
강철,,DM,,,800DM,네크로즈마(황혼의갈기),,강철,메탈클로,,강철,메테오드라이브**,38.9,2180.1,127948.7,106.4,114.4,129.5,120.1,SSS,,
,,M,,,,메타그로스(메가),,강철,불릿펀치,,강철,코멧펀치*,32.3,2233.6,75117.8,93.1,95.0,132.7,105.2,ASS,,
,,S,,,,그림자 메타그로스,,강철,불릿펀치,,강철,코멧펀치*,34.0,1566.1,61430.8,88.5,100.0,93.1,100.0,SAS,,
,3791,M,,,,루카리오(메가),,강철,불릿펀치,,강철,코멧펀치,34.0,1430.3,56025.3,85.4,100.0,85.0,96.4,AAA,,
,,,,,이름 재입력,메타그로스¹,,강철,불릿펀치,,강철,코멧펀치*,28.2,1557.1,34741.9,76.8,82.9,92.5,86.7,AAA,,
,,S,,,,그림자 디아루가,,강철,메탈클로,,강철,아이언헤드,30.6,1052.3,30063.8,73.7,90.0,62.5,83.2,ABA,,
,,S,,,,그림자 몰드류,,강철,메탈클로,,강철,아이언헤드,28.9,1055.4,25500.5,70.1,85.1,62.7,79.2,ABA,,
,,,,,이름 재입력,두드리짱,,페어리,요정의바람,,강철,거대헤머*,26.2,1307.6,23522.8,69.6,77.1,77.7,78.7,AAA,,
,4162,M,,,306M,보스로라(메가),,강철,아이언테일,,강철,헤비봄버,23.4,1683.0,21637.8,68.2,69.0,100.0,77.0,BSA,,
,3599,,,,809,멜메탈,,전기,전기쇼크,,강철,더블펀처*,23.2,1473.2,18390.8,65.5,68.3,87.5,74.0,BAA,,
,4038,,,,483,디아루가,,강철,메탈클로,,강철,아이언헤드,25.4,1049.4,17181.3,64.1,74.7,62.4,72.4,ABA,,
,4087,,,,448,루카리오,,강철,불릿펀치,,강철,코멧펀치,26.6,935.6,17567.0,63.9,78.2,55.6,72.2,ABA,,
,,,,,483OF,디아루가(오리진),,강철,메탈클로,,강철,아이언헤드,24.9,1093.2,16895.5,63.8,73.3,65.0,72.1,ABA,,
,,S,,,이름 재입력,그림자 엠페르트,,강철,강철날개,,강철,러스터캐논,24.2,1143.3,16170.7,63.1,71.2,67.9,71.3,ABA,,
,3265,M,,,212M,핫삼(메가),,강철,불릿펀치,,강철,아이언헤드,23.6,1135.1,14939.2,61.9,69.5,67.5,69.9,BBB,,
,3000,,,,649,게노세크트,,강철,메탈클로,,강철,마그넷봄,24.7,970.1,14691.1,61.6,72.8,57.6,69.6,ABB,,
,3353,,,,530,몰드류,,강철,메탈클로,,강철,아이언헤드,24.0,1051.4,14475.6,60.9,70.5,62.5,68.7,ABB,,
,3244,S,,,이름 재입력,그림자 보스로라,,강철,아이언테일,,강철,헤비봄버,23.1,1089.0,13490.9,60.6,68.1,64.7,68.5,BBB,,
,,M,,,208M,강철톤(메가),,강철,아이언테일,,강철,헤비봄버,20.4,1627.6,13840.0,60.2,60.1,96.7,68.0,BAB,,
